北京大学,北京,教育部
中国人民大学,北京,教育部
清华大学,北京,教育部
北京交通大学,北京,教育部
北京工业大学,北京,北京市
北京航空航天大学,北京,工业与信息化部
北京理工大学,北京,工业与信息化部
北京科技大学,北京,教育部
北京化工大学,北京,教育部
北京邮电大学,北京,教育部
中国农业大学,北京,教育部
北京林业大学,北京,教育部
北京中医药大学,北京,教育部
北京师范大学,北京,教育部
北京外国语大学,北京,教育部
中国传媒大学,北京,教育部
中央财经大学,北京,教育部
对外经济贸易大学,北京,教育部
北京体育大学,北京,国家体育总局
中央音乐学院,北京,教育部
中央民族大学,北京,国家民族事务委员会
中国政法大学,北京,教育部
华北电力大学,北京,教育部
南开大学,天津,教育部
天津大学,天津,教育部
天津医科大学,天津,天津市
华北电力大学(保定),河北,教育部
河北工业大学,河北,河北省
太原理工大学,山西,山西省
内蒙古大学,内蒙古,内蒙古自治区
辽宁大学,辽宁,辽宁省
大连理工大学,辽宁,教育部
东北大学,辽宁,教育部
大连海事大学,辽宁,交通运输部
吉林大学,吉林,教育部
延边大学,吉林,吉林省
东北师范大学,吉林,教育部
哈尔滨工业大学,黑龙江,工业与信息化部
哈尔滨工程大学,黑龙江,工业与信息化部
东北农业大学,黑龙江,黑龙江省
东北林业大学,黑龙江,教育部
复旦大学,上海,教育部
同济大学,上海,教育部
上海交通大学,上海,教育部
华东理工大学,上海,教育部
东华大学,上海,教育部
华东师范大学,上海,教育部
上海外国语大学,上海,教育部
上海财经大学,上海,教育部
上海大学,上海,上海市
南京大学,江苏,教育部
苏州大学,江苏,江苏省
东南大学,江苏,教育部
南京航空航天大学,江苏,工业与信息化部
南京理工大学,江苏,工业与信息化部
中国矿业大学,江苏,教育部
河海大学,江苏,教育部
江南大学,江苏,教育部
南京农业大学,江苏,教育部
中国药科大学,江苏,教育部
南京师范大学,江苏,江苏省
浙江大学,浙江,教育部
安徽大学,安徽,安徽省
中国科学技术大学,安徽,中国科学院
合肥工业大学,安徽,教育部
厦门大学,福建,教育部
福州大学,福建,福建省
南昌大学,江西,江西省
山东大学,山东,教育部
中国海洋大学,山东,教育部
中国石油大学(华东),山东,教育部
郑州大学,河南,河南省
武汉大学,湖北,教育部
华中科技大学,湖北,教育部
中国地质大学(武汉),湖北,教育部
武汉理工大学,湖北,教育部
华中农业大学,湖北,教育部
华中师范大学,湖北,教育部
中南财经政法大学,湖北,教育部
湖南大学,湖南,教育部
中南大学,湖南,教育部
湖南师范大学,湖南,湖南省
中山大学,广东,教育部
暨南大学,广东,国务院侨务办公室
华南理工大学,广东,教育部
华南师范大学,广东,广东省
海南大学,海南,海南省
广西大学,广西,广西壮族自治区
四川大学,四川,教育部
重庆大学,重庆,教育部
西南交通大学,四川,教育部
电子科技大学,四川,教育部
四川农业大学,四川,四川省
西南大学,重庆,教育部
西南财经大学,四川,教育部
贵州大学,贵州,贵州省
云南大学,云南,云南省
西藏大学,西藏,西藏自治区
西北大学,陕西,陕西省
西安交通大学,陕西,教育部
西北工业大学,陕西,工业与信息化部
西安电子科技大学,陕西,教育部
长安大学,陕西,教育部
西北农林科技大学,陕西,教育部
陕西师范大学,陕西,教育部
兰州大学,甘肃,教育部
青海大学,青海,青海省
宁夏大学,宁夏,宁夏回族自治区
新疆大学,新疆,新疆维吾尔自治区
石河子大学,新疆,新疆生产建设兵团
中国矿业大学(北京),北京,教育部
中国石油大学(北京),北京,教育部
中国地质大学(北京),北京,教育部
国防科技大学,湖南,解放军
海军军医大学,上海,解放军
空军军医大学,陕西,解放军
